project_title,business_description,team_size,avg_team_experience,technical_skill_score,business_skill_score,market_size_usd,market_growth_rate,competition_level,project_domain,innovation_type,funding_stage,education_level,social_media_mentions,user_interest_score,mentor_feedback_score,competitiveness_score,competitiveness_class
AI-Powered Fraud Detection System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,1,1.2,2,5,5041595,11.19,6,FinTech,Incremental,Idea,PhD,4931,55,8,29.44,Low
Automated Financial Advisory System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,3,1.21,6,8,6669908,15.81,6,FinTech,Disruptive,MVP,PG,1930,16,1,10.68,Low
Smart Traffic Management System,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",1,1.6,6,3,4516259,8.15,4,HealthTech,Disruptive,Idea,UG,1369,67,3,14.67,Low
E-Learning Personalization Engine,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,4,3.23,4,9,81295,12.94,8,E-commerce,Incremental,MVP,PG,4736,11,9,33.71,Low
Personalized Nutrition Recommendation System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",1,1.05,10,3,8546326,16.5,10,AgriTech,Disruptive,MVP,PG,623,60,1,11.4,Low
Online Event Management Platform,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,2,4.98,5,5,1251082,4.72,9,AI,Incremental,MVP,PhD,3170,19,3,13.32,Low
E-Learning Personalization Engine,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,4,4.44,8,1,6051495,21.27,1,FinTech,Disruptive,Idea,PG,1445,84,3,17.63,Low
Digital Marketplace for Local Businesses,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,6,4.7,9,2,2809487,7.63,2,AgriTech,Incremental,MVP,PhD,2869,35,9,32.53,Low
Sustainable Agriculture Analytics Tool,"An event management platform that automates planning, scheduling, and coordination of events.",4,3.56,1,5,1717923,9.16,8,HealthTech,Incremental,MVP,PG,1218,17,1,6.97,Low
Online Event Management Platform,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,4,2.54,6,7,1993509,6.1,6,HealthTech,Incremental,Prototype,UG,3436,51,6,24.14,Low
Automated Financial Advisory System,"An event management platform that automates planning, scheduling, and coordination of events.",3,2.17,5,1,4113022,12.31,5,EdTech,Disruptive,Prototype,UG,3067,61,3,14.48,Low
E-Learning Personalization Engine,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,4,0.12,1,1,5140397,23.85,5,FinTech,Incremental,Idea,UG,2565,99,9,34.35,Low
Smart Waste Management Solution,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",5,4.64,1,5,8513902,24.09,1,EdTech,Disruptive,Idea,PhD,1139,63,5,22.88,Low
Autonomous Delivery Drone System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,1,1.58,2,9,698105,23.4,10,E-commerce,Disruptive,MVP,UG,1895,46,8,32.9,Low
Sustainable Agriculture Analytics Tool,"An event management platform that automates planning, scheduling, and coordination of events.",2,3.08,6,7,1115534,12.96,2,AI,Disruptive,Idea,PhD,4057,17,8,30.83,Low
AI Resume Screening Tool,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,1,0.68,6,7,2686188,7.41,10,AgriTech,Disruptive,Prototype,PhD,1841,25,8,29.88,Low
AI-Powered Fraud Detection System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,5,0.41,7,9,6109628,4.86,8,HealthTech,Incremental,Idea,PG,4495,14,3,15.05,Low
AI-Based Crop Monitoring System,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,4,2.89,7,6,128834,11.64,6,AI,Incremental,MVP,UG,1715,42,6,25.07,Low
AI-Based Crop Monitoring System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",6,2.69,5,1,1995588,6.79,5,E-commerce,Incremental,Idea,UG,4869,96,4,17.08,Low
Smart Healthcare Monitoring Platform,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,6,2.7,7,8,3389569,12.91,3,EdTech,Incremental,Prototype,PhD,4752,63,3,17.34,Low
Fitness Tracking and Recommendation App,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,4,3.72,10,5,3187945,24.07,7,AI,Incremental,MVP,PhD,1150,9,5,24.49,Low
Smart Waste Management Solution,A fitness application that tracks user activity and provides personalized workout and health recommendations.,1,0.87,1,2,6478703,13.73,9,HealthTech,Disruptive,Prototype,UG,4583,1,7,24.67,Low
E-Learning Personalization Engine,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,5,3.06,7,3,7041883,14.15,3,E-commerce,Disruptive,Prototype,PG,2744,29,5,21.41,Low
Digital Marketplace for Local Businesses,An AI-based fraud detection system that identifies suspicious financial activities in real time.,1,1.56,4,5,6527963,0.43,10,E-commerce,Incremental,MVP,PhD,2479,85,7,25.49,Low
E-Learning Personalization Engine,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,4,0.87,5,7,5094921,15.4,5,AgriTech,Disruptive,Idea,UG,2849,52,10,37.72,Low
AI Resume Screening Tool,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,2,4.67,1,8,1599228,4.07,8,AI,Disruptive,Idea,PG,335,2,1,6.55,Low
IoT Smart Home Automation Solution,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,4,2.93,4,8,5967515,9.7,1,AgriTech,Incremental,Idea,PG,4000,61,3,15.76,Low
Automated Financial Advisory System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,3,4.71,3,1,1096880,16.29,2,EdTech,Incremental,Idea,UG,2546,35,7,26.16,Low
IoT Smart Home Automation Solution,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,1,3.28,10,10,3363597,20.36,9,AgriTech,Disruptive,Idea,PG,3974,68,10,41.43,Medium
Smart Healthcare Monitoring Platform,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,5,1.74,8,4,3379720,13.7,5,AgriTech,Incremental,Prototype,PG,2504,24,3,15.82,Low
AI-Powered Fraud Detection System,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,1,3.66,4,2,80640,19.41,8,AgriTech,Disruptive,Idea,UG,4132,12,1,8.92,Low
Cloud-Based Business Intelligence Platform,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,5,3.7,3,9,908320,13.36,4,EdTech,Incremental,MVP,PG,728,86,3,16.99,Low
Smart Healthcare Monitoring Platform,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,1,0.27,9,3,6207323,8.87,4,AI,Disruptive,MVP,PhD,4946,16,5,20.69,Low
IoT Smart Home Automation Solution,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,5,1.47,9,4,2773642,5.32,5,AI,Incremental,Idea,UG,3222,16,9,32.28,Low
Personalized Nutrition Recommendation System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",5,4.65,10,7,5093769,11.04,7,E-commerce,Incremental,Prototype,UG,732,75,2,14.81,Low
Smart Waste Management Solution,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",4,3.44,10,1,8924438,10.65,8,AI,Incremental,MVP,UG,2993,27,10,35.97,Low
Digital Marketplace for Local Businesses,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,2,0.41,5,6,9736290,14.53,1,AI,Disruptive,Prototype,UG,1365,17,7,27.55,Low
AI Chatbot for Customer Service,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",1,2.96,4,6,4949003,2.09,6,FinTech,Disruptive,Idea,PhD,2214,91,10,35.24,Low
Cloud-Based Business Intelligence Platform,An AI-based fraud detection system that identifies suspicious financial activities in real time.,2,1.65,3,2,4994445,1.41,8,FinTech,Incremental,Idea,PG,4924,39,1,5.56,Low
Personalized Nutrition Recommendation System,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,3,2.92,9,1,3703976,21.71,6,EdTech,Incremental,MVP,UG,133,58,5,23.5,Low
Online Event Management Platform,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,6,4.62,5,4,433570,24.23,2,HealthTech,Disruptive,Idea,UG,1256,49,1,11.53,Low
Smart Traffic Management System,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,5,3.48,3,7,5128922,7.02,8,HealthTech,Disruptive,MVP,PhD,357,76,8,29.92,Low
Cloud-Based Business Intelligence Platform,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,4,1.68,10,4,6665623,8.83,2,E-commerce,Incremental,MVP,PhD,539,92,5,22.81,Low
Cloud-Based Business Intelligence Platform,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,1,1.3,6,1,4020912,10.28,3,HealthTech,Disruptive,Idea,UG,3324,6,2,10.28,Low
Automated Financial Advisory System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,3,3.63,9,2,3090201,23.32,2,FinTech,Disruptive,MVP,UG,4972,5,7,29.06,Low
AI Chatbot for Customer Service,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,1,3.89,2,1,7478810,14.85,9,E-commerce,Disruptive,MVP,PG,3925,59,1,8.05,Low
Sustainable Agriculture Analytics Tool,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,5,0.32,9,3,4475150,6.84,7,EdTech,Disruptive,Prototype,UG,4613,92,1,9.81,Low
AI-Based Crop Monitoring System,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,5,5.0,6,3,3206340,14.63,5,HealthTech,Disruptive,Idea,PhD,2724,74,10,37.11,Low
AI-Powered Fraud Detection System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,3,1.24,9,1,3987266,6.87,4,E-commerce,Disruptive,MVP,UG,4544,32,2,11.01,Low
E-Learning Personalization Engine,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",4,1.34,7,10,8906761,13.01,6,E-commerce,Incremental,MVP,UG,770,50,1,11.7,Low
Smart Traffic Management System,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,6,4.84,9,1,5175679,12.0,7,AI,Incremental,Prototype,UG,3278,85,2,13.1,Low
Smart Healthcare Monitoring Platform,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,3,1.06,6,2,327537,15.92,3,FinTech,Incremental,Prototype,UG,4542,98,4,19.54,Low
Online Mental Health Support Platform,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,1,2.57,8,7,717689,21.56,5,FinTech,Disruptive,MVP,PhD,4892,4,10,38.89,Low
Autonomous Delivery Drone System,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",1,2.46,4,8,1859396,8.69,3,HealthTech,Incremental,Prototype,UG,760,23,7,26.8,Low
IoT Smart Home Automation Solution,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,3,0.69,8,4,9427063,17.41,9,AgriTech,Incremental,Prototype,UG,3266,96,3,18.0,Low
E-Learning Personalization Engine,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,3,3.34,2,10,5133122,1.02,5,EdTech,Disruptive,Idea,UG,4699,42,6,22.64,Low
AI-Powered Fraud Detection System,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,5,2.74,5,9,2255131,5.16,2,FinTech,Incremental,Idea,UG,1968,78,10,36.79,Low
AI Resume Screening Tool,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,5,1.61,10,9,2916158,15.7,8,FinTech,Disruptive,Idea,PG,4202,63,1,13.1,Low
Smart Traffic Management System,"An event management platform that automates planning, scheduling, and coordination of events.",2,4.34,8,1,3992588,24.66,8,AgriTech,Disruptive,Idea,UG,4821,14,10,37.91,Low
Sustainable Agriculture Analytics Tool,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,4,1.84,8,2,5924988,1.56,8,AI,Disruptive,Idea,UG,4978,7,3,12.45,Low
Personalized Nutrition Recommendation System,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,6,3.75,2,10,5882354,9.93,9,FinTech,Disruptive,Prototype,PhD,4580,28,10,36.15,Low
Online Event Management Platform,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,1,4.2,6,10,780173,2.99,1,AgriTech,Incremental,Prototype,UG,3596,84,9,34.08,Low
Digital Marketplace for Local Businesses,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,4,1.78,9,2,4231038,14.6,6,AI,Incremental,Prototype,PG,4718,8,8,30.38,Low
Blockchain-Powered Digital Payments,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,1,2.82,10,9,6492532,9.08,10,AI,Disruptive,MVP,UG,1761,59,8,32.7,Low
Cloud-Based Business Intelligence Platform,"An event management platform that automates planning, scheduling, and coordination of events.",3,4.93,5,9,954789,5.63,6,FinTech,Disruptive,Prototype,PG,2563,94,8,31.21,Low
Cloud-Based Business Intelligence Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,1,0.4,3,8,7092212,24.56,6,HealthTech,Incremental,Prototype,PhD,467,92,4,22.05,Low
Virtual Reality Learning Environment,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,6,4.88,8,6,2906818,20.52,2,AI,Disruptive,Prototype,PhD,846,75,8,33.8,Low
AI-Based Crop Monitoring System,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,2,1.4,5,6,74323,10.64,1,FinTech,Incremental,Prototype,PhD,4627,12,1,8.67,Low
Personalized Nutrition Recommendation System,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,2,3.84,6,5,9449101,3.86,4,AgriTech,Disruptive,Prototype,PhD,2026,3,1,7.13,Low
AI Resume Screening Tool,"An event management platform that automates planning, scheduling, and coordination of events.",6,1.68,10,5,3767974,13.72,2,AgriTech,Incremental,MVP,UG,2060,40,2,14.04,Low
Cloud-Based Business Intelligence Platform,"An event management platform that automates planning, scheduling, and coordination of events.",4,1.27,5,9,8122074,11.83,6,E-commerce,Disruptive,Idea,UG,2038,35,1,10.27,Low
Cloud-Based Business Intelligence Platform,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",5,4.15,2,5,1722503,24.77,2,HealthTech,Incremental,Idea,UG,2635,99,3,18.03,Low
Online Mental Health Support Platform,A fitness application that tracks user activity and provides personalized workout and health recommendations.,1,3.71,6,8,9882232,18.76,3,AI,Incremental,Prototype,PG,4820,37,5,23.69,Low
Smart Waste Management Solution,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,3,3.33,10,4,9461244,14.71,2,E-commerce,Disruptive,Prototype,PG,2343,72,7,29.58,Low
Online Mental Health Support Platform,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,6,4.5,6,1,6519590,10.97,1,E-commerce,Incremental,Idea,PG,2712,17,1,7.63,Low
Online Mental Health Support Platform,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,2,2.72,8,8,7915477,23.5,7,E-commerce,Disruptive,Idea,PhD,1202,72,10,40.94,Medium
Online Mental Health Support Platform,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,4,3.97,1,4,6877100,3.79,1,AgriTech,Incremental,Prototype,PhD,3068,27,7,23.8,Low
Online Event Management Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,1,0.17,6,2,3187993,12.35,10,AI,Disruptive,Prototype,PhD,2912,38,4,17.63,Low
Online Event Management Platform,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,5,0.64,8,8,6366228,12.16,4,AI,Disruptive,Idea,PhD,2891,45,2,14.13,Low
Fitness Tracking and Recommendation App,An AI-based fraud detection system that identifies suspicious financial activities in real time.,3,3.21,3,4,5745193,6.29,5,FinTech,Incremental,MVP,PG,4106,74,8,28.84,Low
Online Event Management Platform,A fitness application that tracks user activity and provides personalized workout and health recommendations.,6,1.14,7,10,8474685,15.37,10,E-commerce,Incremental,Prototype,PG,2188,62,2,15.41,Low
Blockchain-Powered Digital Payments,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,1,1.28,8,4,3367679,17.42,8,HealthTech,Disruptive,Prototype,PG,3876,72,10,38.52,Low
Automated Financial Advisory System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",1,2.88,10,9,9698053,1.93,8,HealthTech,Incremental,Idea,PG,3368,86,7,28.81,Low
Autonomous Delivery Drone System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,1,0.57,5,10,6681318,23.02,6,EdTech,Disruptive,Prototype,PG,4662,40,5,24.9,Low
Automated Financial Advisory System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,1,3.72,10,4,3127172,15.09,3,AgriTech,Incremental,Idea,PG,574,25,10,37.72,Low
Virtual Reality Learning Environment,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,3,4.61,7,2,1591530,18.44,1,E-commerce,Incremental,MVP,PG,954,51,6,25.41,Low
Fitness Tracking and Recommendation App,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,1,2.49,6,5,3374695,7.79,6,FinTech,Disruptive,Prototype,PG,2713,28,2,11.42,Low
Automated Financial Advisory System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,5,2.58,1,4,8418424,3.72,6,AI,Incremental,Prototype,UG,341,92,8,28.08,Low
Sustainable Agriculture Analytics Tool,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,1,1.5,7,3,7443533,5.13,1,AgriTech,Incremental,Prototype,PG,4524,93,8,29.89,Low
Virtual Reality Learning Environment,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,0.33,3,2,4102097,13.36,1,AgriTech,Incremental,MVP,PhD,2161,94,6,24.05,Low
AI-Based Crop Monitoring System,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,3,0.78,1,8,5527366,23.65,10,AI,Incremental,Idea,PhD,1481,83,2,15.09,Low
Digital Marketplace for Local Businesses,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,4,4.0,7,2,7459607,0.68,7,AgriTech,Incremental,Idea,PG,2490,72,6,22.28,Low
Virtual Reality Learning Environment,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,1,4.0,3,3,1738096,13.92,8,HealthTech,Disruptive,Prototype,PG,2143,88,8,30.34,Low
Virtual Reality Learning Environment,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,6,4.15,4,4,509876,3.53,7,AgriTech,Disruptive,Idea,PG,943,82,7,25.75,Low
AI-Based Crop Monitoring System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,2,0.43,7,5,7239039,4.54,4,EdTech,Disruptive,Idea,PhD,1308,60,2,11.71,Low
Blockchain-Powered Digital Payments,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,2,4.55,5,4,6928889,20.63,3,EdTech,Incremental,Idea,UG,4566,12,4,19.07,Low
Personalized Nutrition Recommendation System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,5,1.73,9,2,7281476,7.36,4,HealthTech,Incremental,Prototype,PhD,3577,86,8,30.49,Low
E-Learning Personalization Engine,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,1,4.34,8,7,1742465,0.56,9,HealthTech,Disruptive,MVP,PG,2599,66,9,32.93,Low
Smart Traffic Management System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,1,0.7,4,10,9685193,22.51,2,AI,Incremental,Idea,PG,3798,37,6,27.44,Low
E-Learning Personalization Engine,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,2,2.65,10,4,8587064,6.85,1,EdTech,Disruptive,MVP,PhD,4683,87,5,22.31,Low
Virtual Reality Learning Environment,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,2,0.7,9,6,7379434,14.94,9,E-commerce,Incremental,Idea,PhD,454,10,1,10.69,Low
Online Mental Health Support Platform,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,2,2.02,10,2,9548555,23.97,1,E-commerce,Disruptive,MVP,PhD,2866,53,4,21.45,Low
E-Learning Personalization Engine,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,3,1.23,5,8,886031,22.89,7,EdTech,Disruptive,MVP,PG,1250,54,2,15.56,Low
Smart Traffic Management System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",6,0.68,8,1,1641993,0.78,4,AI,Disruptive,Idea,PG,1762,81,2,10.48,Low
Fitness Tracking and Recommendation App,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,1,3.85,5,9,3957208,8.79,1,AgriTech,Disruptive,MVP,PG,1240,61,8,31.18,Low
Autonomous Delivery Drone System,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,2,2.3,3,3,5797749,14.76,3,HealthTech,Disruptive,MVP,PhD,1636,44,1,8.63,Low
Fitness Tracking and Recommendation App,An AI-based fraud detection system that identifies suspicious financial activities in real time.,5,3.95,9,7,7609600,4.63,8,AgriTech,Disruptive,Prototype,UG,338,8,5,20.89,Low
Blockchain-Powered Digital Payments,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,1,3.29,6,6,474071,6.24,9,AgriTech,Incremental,Prototype,PhD,3726,59,10,36.03,Low
Personalized Nutrition Recommendation System,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,4.72,10,7,3823270,13.9,6,FinTech,Incremental,Prototype,PG,4345,7,5,23.02,Low
IoT Smart Home Automation Solution,A fitness application that tracks user activity and provides personalized workout and health recommendations.,1,0.96,8,2,6701409,18.63,4,HealthTech,Disruptive,Prototype,PG,934,99,2,14.71,Low
Sustainable Agriculture Analytics Tool,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,3,4.14,1,8,8958331,3.01,2,E-commerce,Disruptive,MVP,UG,130,37,8,28.04,Low
Online Event Management Platform,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,2,3.62,7,8,1851648,13.46,6,EdTech,Incremental,MVP,PG,920,13,2,13.45,Low
Fitness Tracking and Recommendation App,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,1,4.43,10,2,4147270,11.55,2,HealthTech,Disruptive,MVP,PhD,2461,13,2,12.17,Low
Fitness Tracking and Recommendation App,An AI-based fraud detection system that identifies suspicious financial activities in real time.,3,0.35,4,1,9268731,24.6,10,EdTech,Incremental,Prototype,UG,920,84,5,23.1,Low
Virtual Reality Learning Environment,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",1,1.19,3,8,8955309,21.32,2,FinTech,Disruptive,Prototype,PhD,4388,25,1,11.06,Low
Online Event Management Platform,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,5,4.94,9,1,4327048,16.99,10,AgriTech,Disruptive,Prototype,PhD,1828,61,5,22.62,Low
AI-Powered Fraud Detection System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,3,2.94,7,8,5964878,23.62,2,FinTech,Disruptive,Idea,UG,4867,59,8,34.4,Low
AI Resume Screening Tool,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,4,4.19,6,5,4175100,3.01,2,EdTech,Incremental,Idea,UG,824,90,9,32.7,Low
Fitness Tracking and Recommendation App,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,1,4.79,8,6,3753797,24.23,1,E-commerce,Disruptive,Idea,UG,3170,20,10,39.45,Low
Cloud-Based Business Intelligence Platform,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",1,0.87,10,3,1839553,12.28,1,FinTech,Incremental,Prototype,UG,2,32,3,16.0,Low
